Available Now	Nyní k dispozici
Contact Alt. Addr. Date Range	Rozmezí data alt. adr. kontaktu
Business Relation	Obchodní vztah
Contact Business Relation	Obchodní vztah kontaktu
Mailing Group	Poštovní skupina
Contact Mailing Group	Poštovní skupina kontaktu
Industry Group	Prùmyslová skupina
Contact Industry Group	Prùmyslová sk.kontaktu
Web Source	Webový zdroj
Contact Web Source	Webový zdroj kontaktu
Rlshp. Mgt. Comment Line	Øádek pozn.správce vztahù
Attachment	Pøíloha
Interaction Group	Skupina interakce
Interaction Template	Šablona interakce
Interaction Log Entry	Položka protokolu interakce
Job Responsibility	Pracovní odpovìdnost
Contact Job Responsibility	Pracovní odpovìdnost kontaktu
Salutation	Oslovení
Salutation Formula	Formát oslovení
Organizational Level	Organizaèní úroveò
Campaign	Kampaò
Campaign Entry	Položka kampanì
Campaign Status	Stav kampanì
Delivery Sorter	Tøídìní doruèenek
Logged Segment	Protokolovaný segment
Segment Header	Hlavièka segmentu
Segment Line	Øádek segmentu
Segment History	Historie segmentu
Marketing Setup	Nastavení marketingu
To-do	Úkol
Activity	Aktivita
Activity Step	Krok aktivity
Team	Tým
Team Salesperson	Tým prodejce
Contact Duplicate	Duplikát kontaktu
Cont. Duplicate Search String	Vyhl.øetìzec dupl.kontaktu
Profile Questionnaire Header	Hlavièka profil.dotazníku
Profile Questionnaire Line	Øádek profil.dotazníku
Contact Profile Answer	Odpovìï na profil kontaktu
Sales Cycle	Prodejní cyklus
Sales Cycle Stage	Fáze prodejního cyklu
Opportunity	Pøíležitost
Opportunity Entry	Položka pøíležitosti
Close Opportunity Code	Kód uzavøení pøíležitosti
Duplicate Search String Setup	Nastavení vyhl.øetìzce dupl.
Segment Wizard Filter	Filtr prùvodce segmentu
Segment Criteria Line	Øádek kritéria segmentu
Saved Segment Criteria	Uložená kritéria segmentu
Saved Segment Criteria Line	Uložená kritéria øádku seg.
Communication Method	Zpùsob komunikace
Contact Value	Hodnota kontaktu
RM Matrix Management	Správce matice SV
Interaction Tmpl. Language	Jazyk šablony interakce
Segment Interaction Language	Jazyk interakce segmentu
Customer Template	Šablona zákazníka
Sales Header Archive	Archivovaná prodejní hlavièka
Sales Line Archive	Archivovaný prodejní øádek
Purchase Header Archive	Archivovaná nákupní hlavièka
Purchase Line Archive	Archivovaný nákupní øádek
Rating	Hodnocení
Interaction Template Setup	Nastavení šablon interakce
Inter. Log Entry Comment Line	Øádek pozn.pol.prot.integrace
Current Salesperson	Aktuální prodejce
Purch. Comment Line Archive	Archiv øádku nákupní poznámky
Sales Comment Line Archive	Archiv øádku prodejní poznámky
Integration Page	Stránka integrace
Integration Record	Záznam Integrace
To-do Interaction Language	Jazyk interakce úkolu
Attendee	Úèastník
Employee	Zamìstnanec
Alternative Address	Alternativní adresa
Qualification	Kvalifikace
Employee Qualification	Kvalifikace zamìstnance
Relative	Pøíbuzný
Employee Relative	Pøíbuzní zamìstnance
Cause of Absence	Dùvod absence
Employee Absence	Absence zamìstnance
Human Resource Comment Line	Øádek pozn.lidského zdroje
Union	Odbory
Cause of Inactivity	Dùvod pasivity
Employment Contract	Pracovní smlouva
Employee Statistics Group	Stat.skupina zamìstnance
Misc. Article	Rùzné pøedmìty
Misc. Article Information	Informace o pøedmìtech
Confidential	Dùvìrné
Confidential Information	Dùvìrné informace
Grounds for Termination	Dùvody ukonèení
Human Resources Setup	Nastavení lidských zdrojù
HR Confidential Comment Line	Øádek dùvìrné pozn.lid.zdrojù
Human Resource Unit of Measure	Lidské zdroje - mìrná jednotka
Outlook Synch. Entity	Synch. entita s apl. Outlook
